name,firm_type,countries,check_size,stages,lead_status,thesis,value_add,typical_terms,reply_rate,profile_url,source_category
Autotech Ventures,VC firm,"USA, UK",$500k to $8M,"1. Idea or Patent, 2. Prototype",Sometimes,We invest in startups solving ground transportation and mobility challenges.,"Autotech Ventures provides startups with capital, ground transportation market intelligence, and access to our transportation sector network which includes our corporate investors representing a global market capitalization of over $500B.",,,https://www.openvc.app/fund/Autotech%20Ventures,venture-capital-firms
Escape Velocity (E...,VC firm,USA,$500k to $3M,"1. Idea or Patent, 2. Prototype",Always,"We invest in crypto-enabled businesses, at the intersection of web3 and real-world industries like telecom, energy, and advertising. Deep tech, web3, crypto, blockchain, adtech","We help our founders raise capital from tier 1 investors, scale distribution to consumer and business customers, and improve their marketing and brand visibility.",,,https://www.openvc.app/fund/Escape%20Velocity%20%28EV3%29,venture-capital-firms
Curious VC,VC firm,USA,$100k to $5M,3. Early Revenue,Never,We invest in technology.,,,,https://www.openvc.app/fund/Curious%20VC,venture-capital-firms
Floodgate,VC firm,"Canada, Colombia",$100k to $5M,"2. Prototype, 3. Early Revenue",Sometimes,"We invest in digital businesses at early, seed, and later stages.",,,,https://www.openvc.app/fund/Floodgate,venture-capital-firms
Entrepreneurs Firs...,VC firm,"Canada, USA",$125k to $250k,"1. Idea or Patent, 2. Prototype",Sometimes,We turn exceptional individuals into funded founders. We build unicorn cofounding teams from scratch.,"We coach founders through two stages: FORM and LAUNCH. At FORM, accepted founders get an equity-free grant plus individualized coaching to develop their idea into a revenue-generating business. With $125k secured, they move to San Francisco for LAUNCH, scaling the business and preparing to raise from top funds like Khosla, Index, and Benchmark.",$125k on a post-money SAFE for 8% of the company.,,https://www.openvc.app/fund/Entrepreneurs%20First,venture-capital-firms
2|Twelve,VC firm,USA,$100k to $300k,"2. Prototype, 3. Early Revenue",Never,"We invest in B2B,Enterprise, SaaS, B2B Fintech at seed stage.","We provide Founders with an executive coach, a sales training program, a culture build-up program, a CTO coaching platform, personal concierge and an M&A expertise.",,,https://www.openvc.app/fund/2%7CTwelve,venture-capital-firms
Sparton Ventures,VC firm,"Australia, Canada",$500k to $1M,"1. Idea or Patent, 2. Prototype",Sometimes,"Our investment thesis is to promote human flourishing worldwide. We believe that these 4 focuses allow us to provide the most value to human existence: Energy, Compute, Food & Health","We bring a breadth of experience from operating as an advisory beforehand, which we look to foster in our companies in the future",,,https://www.openvc.app/fund/Sparton%20Ventures,venture-capital-firms
VentureIsrael,VC firm,Israel,$100k to $5M,"2. Prototype, 3. Early Revenue",Sometimes,We invest in early-stage deep tech companies.,,,,https://www.openvc.app/fund/VentureIsrael,venture-capital-firms
Eagle Venture Fund,VC firm,"USA, Germany",$250k to $5M,"3. Early Revenue, 2. Prototype",Sometimes,"We invest in Healthtech, Blockchain, DevOps, Fintech, Energy, Analytics, Edtech startups.","## With Venture Builder as our base to build and support, we offer entrepreneurs-on-mission unparalleled one-to-one support",,,https://www.openvc.app/fund/Eagle%20Venture%20Fund,venture-capital-firms
Magenta Venture Pa...,VC firm,"Israel, USA",$100k to $5M,"3. Early Revenue, 4. Scaling",Sometimes,We invest in early-stage technology startups.,,,,https://www.openvc.app/fund/Magenta%20Venture%20Partners,venture-capital-firms
Pontifax,VC firm,"Belgium, Denmark",$10M to $50M,"4. Scaling, 5. Growth",Sometimes,"We invest in pharmaceutical and life sciences companies, including biotechnology and medical device firms.",,,,https://www.openvc.app/fund/Pontifax,venture-capital-firms
Pangaea Ventures,VC firm,"Canada, Netherlands",$3M to $8M,"3. Early Revenue, 4. Scaling",Sometimes,We invest in companies utilizing advanced materials and hard tech to address global challenges.,,,,https://www.openvc.app/fund/Pangaea%20Ventures,venture-capital-firms
Transformation Cap...,VC firm,USA,$10k to $5M,"4. Scaling, 5. Growth",Sometimes,We invest in innovative healthcare IT and services companies.,,,,https://www.openvc.app/fund/Transformation%20Capital,venture-capital-firms
VERVE CAPITAL,VC firm,"Brazil, Mexico",$20k to $5M,"2. Prototype, 3. Early Revenue",Sometimes,We invest in early-stage ideas and support growth for founders.,,,,https://www.openvc.app/fund/VERVE%20CAPITAL,venture-capital-firms
Cowboy Ventures,VC firm,"Germany, USA",$100k to $5M,"2. Prototype, 3. Early Revenue",Sometimes,We invest in various innovative sectors.,,,,https://www.openvc.app/fund/Cowboy%20Ventures,venture-capital-firms
Final Frontier (Sp...,VC firm,"Albania, Andorra",$100k to $500k,"1. Idea or Patent, 2. Prototype",Never,"We invest in startups building critical space and defence technology across the value chain - from satellite systems and propulsion to drones, cybersecurity and autonomous platforms. We focus on pre-seed and seed stage companies and we prefer backing teams with working prototypes ready for real-world deployment.","Beyond capital, we're building the biggest European community where space and defence founders actually help each other win. We share market intel, publish sector deep-dives, and run Rockets and Radars podcast—weekly stories from founders who've cracked these complex industries and went from Zero to Millions.",,,https://www.openvc.app/fund/Final%20Frontier%20%28Space%20%26%20Defence%20VC%29,venture-capital-firms
